,Ptilopachus_petrosus,Turtur_abyssinicus,Rhinoptilus_chalcopterus,Butorides_striata,Lybius_dubius,Pogoniulus_chrysoconus,Campethera_punctuligera,Indicator_indicator,Indicator_minor,Merops_bulocki,Alcedo_quadribrachys,Alcedo_cristata,Ceyx_pictus,Megaceryle_maxima,Ceryle_rudis,Halcyon_leucocephala,Halcyon _malimbica,Halcyon_senegalensis,Dicrurus_adsimilis,Terpsiphone_viridis,Terpsiphone_rufiventer,Campephaga_phoenicea,Tchagra_senegalus,Laniarius_barbarus,Prionops_plumatus,Batis_senegalensis,Platysteira_cyanea,Platysteira_castanea,Elminia_longicauda,Sylvietta_virens,Sylvietta_brachyura,Pycnonotus_barbatus,Bleda_canicapillus,Andropadus_virens,Phyllastrephus_baumanni,Phyllastresphus_albigularis,Illadopsis_puveli,Turdoides_reinwardii,Turdoides_plebejus,Hypergerus_atriceps,Cisticola_cantans,Cisticola_lateralis,Eremomela_pusilla,Camaroptera_brachyura,Heliolais_erythropterus,Prinia_subflava,Turdus_pelios,Muscipcapa_aquatica,Melaenornis_edolioides,Stiphornis_erythrothorax,Cossypha_albicapilla,Cossypha_niveicapilla,Anthreptes_collaris,Nectarinia_cuprea,Nectarinia_venusta,Nectarinia_olivacea,Nectarinia_pulchella,Nectarinia_senegalensis,Nectarinia_sp,Petronia_dentata,Petronia_pyrgita,Passer_griseus,Amblyospiza_albifrons,Sporopipes_frontalis,Euplectes_ardens,Ploceus_nigricollis,Ploceus_ocularis,Ploceus_cucullatus,Vidua_orientalis,Lonchura_cucullata,Estrilda_caerulescens,Estrilda_melpoda,Pytilia_melba,Uraeginthus_bengalus,Lagonosticta_senegala,Lagonosticta_rubricata,Lagonosticta_larvata
B30_L,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B33_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B31_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECOB3_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REB11_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B34_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B32_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B29_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANLAT12_L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANLAT12_L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
